CLASE DE ACCIDENTE,GRAVEDAD,VIAS,CORREGIMIENTO,DÍA SEMANA,FECHA DE OCURRECIA,HORA OCURRENCIA
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-02-17,2:10:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,MIERCOLES,2021-02-17,11:10:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-02-17,2:30:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,EL CARMELO,VIERNES,2021-02-19,10:10:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,EL CARMELO,,2021-02-20,
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL CABUYAL,SABADO,2021-02-20,5:00:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,DOMINGO,2021-02-21,10:10:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-02-22,8:10:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,POBLADO CAMPESTRE,MARTES,2021-02-23,7:20:00 AM
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL CABUYAL,MARTES,2021-02-23,1:25:00 PM
CHOQUE,HERIDOS,VILLARICA-PALMIRA,BUCHITOLO,MIERCOLES,2021-02-24,7:50:00 AM
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL CABUYAL,MIERCOLES,2021-02-24,5:25:00 AM
CHOQUE,HERIDOS,CALI-FLORIDA,JUANCHITO,JUEVES,2021-02-25,7:00:00 AM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,SABADO,2021-02-27,2:40:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-02-28,2:00:00 PM
VOLCAMIENTO,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,DOMINGO,2021-02-28,8:35:00 PM
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,MARTES,2021-03-02,2:10:00 PM
CHOQUE,HERIDOS,PUERTO TEJADA-PALMIRA,CANDELARIA,MARTES,2021-03-02,4:00:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,MIERCOLES,2021-03-03,3:45:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,MIERCOLES,2021-03-03,9:56:00 PM
CHOQUE,HERIDOS,VILLARICA-PALMIRA,CANDELARIA,DOMINGO,2021-03-14,2:30:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,SABADO,2021-03-06,10:40:00 AM
CHOQUE,MUERTOS,Via interna,CANDELARIA,SABADO,2021-03-06,11:28:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,LUNES,2021-03-08,1:30:00 PM
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,MARTES,2021-03-09,4:10:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,MIERCOLES,2021-03-10,9:09:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,MIERCOLES,2021-03-10,9:50:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,EL CARMELO,JUEVES,2021-03-11,7:50:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,SABADO,2021-03-13,8:50:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,DOMINGO,2021-03-14,8:03:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,DOMINGO,2021-03-14,10:20:00 AM
